Time,Voltage(V),Current(A),Power(W),Leakage Current(mA),total_forward_energy(kWh),price(DZD)
2025-08-12 23:33:12,404.56,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:33:22,404.56,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:33:32,407.12,12.8,25.0,0,16.95,88.53719999999998
2025-08-12 23:33:42,407.12,12.8,25.0,0,16.95,88.53719999999998
2025-08-12 23:33:52,384.08,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:34:02,373.84,15.36,0.4,0,16.95,88.53719999999998
2025-08-12 23:34:12,376.4,15.36,0.4,0,16.96,88.53719999999998
2025-08-12 23:34:22,368.72,12.8,25.0,0,16.96,88.53719999999998
2025-08-12 23:34:32,371.28,10.24,18.6,0,16.96,88.53719999999998
2025-08-12 23:34:43,371.28,10.24,20.6,0,16.96,88.53719999999998
2025-08-12 23:34:53,378.96,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:35:03,376.4,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:35:13,378.96,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:35:23,371.28,10.24,20.6,0,16.96,88.53719999999998
2025-08-12 23:35:33,366.16,10.24,20.6,0,16.96,88.53719999999998
2025-08-12 23:35:43,368.72,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:35:54,361.04,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:36:04,363.6,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:36:14,363.6,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:36:24,373.84,10.24,19.6,0,16.96,88.53719999999998
2025-08-12 23:36:34,368.72,10.24,20.6,0,16.97,88.53719999999998
2025-08-12 23:36:44,376.4,10.24,19.6,0,16.97,88.53719999999998
2025-08-12 23:36:54,373.84,10.24,19.6,0,16.97,88.53719999999998
2025-08-12 23:37:04,384.08,10.24,19.6,0,16.97,88.53719999999998
2025-08-12 23:37:15,381.52,10.24,19.6,0,16.97,88.53719999999998
2025-08-12 23:37:25,381.52,10.24,19.6,0,16.97,88.53719999999998
2025-08-12 23:37:35,391.76,10.24,19.6,0,16.97,88.53719999999998
2025-08-12 23:37:45,391.76,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:37:56,394.32,10.24,18.6,0,16.97,88.53719999999998
2025-08-12 23:38:06,389.2,10.24,19.6,0,16.97,88.53719999999998
